Partlist

Exported from 2LabsToGo V0.3.0.brd at 02.09.2024 08:42

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                       Package         Library                      Position (mm)         Orientation

R100     100k                        R0805           rcl                          (93.0275 30.48)       R0
R101     330                         R0805           rcl                          (69.5325 87.3125)     R0
R102     4k7                         R0805           rcl                          (44.45 79.375)        R270
R103     120                         R0805           rcl                          (142.24 56.515)       R180
R104     TBD                         R0805           rcl                          (147.955 43.815)      R90
R105     1k                          RTRIM3296W      rcl                          (146.685 51.435)      R0
R106     10                          R0805           rcl                          (25.4 88.265)         R180
SV1                                  ML14            con-harting-ml               (61.595 89.8525)      R90
SV3                                  MA05-2          con-lstb                     (110.1725 116.205)    R270
SV4                                  MA10-2          con-lstb                     (97.4725 50.8)        R90
SV5                                  MA06-2          con-lstb                     (71.12 70.8025)       R0
SW1      1825910-6                   1825910-6       Switch                       (66.675 40.3225)      R180
T1       BC847                       SOT23           transistor                   (132.3975 39.37)      R0
T2       BC847                       SOT23           transistor                   (140.6525 34.29)      R180
T3       BC847                       SOT23           transistor                   (112.0775 39.37)      R0
T4       BC847                       SOT23           transistor                   (120.3325 34.29)      R180
T5       MJD128T4G                   DPAK            transistor                   (142.5575 22.86)      R0
T6       MJD128T4G                   DPAK            transistor                   (122.2375 22.86)      R0
T7       MJD200G                     DPAK            transistor-neu-to92          (25.4 118.11)         R90
T8       MJD200G                     DPAK            transistor-neu-to92          (10.16 118.11)        R90
T9       MJD200G                     DPAK            transistor-neu-to92          (40.64 118.11)        R90
U$1      A4988BREAKOUT               A4988BREAKOUT   RepRapjr                     (29.21 7.62)          R90
U$2      LM2577                      TO263-5         national-semiconductor       (87.63 86.36)         R90
U$4      A4988BREAKOUT               A4988BREAKOUT   RepRapjr                     (13.97 19.05)         R270
U$6      A4988BREAKOUT               A4988BREAKOUT   RepRapjr                     (13.97 40.005)        R270
U$7      A4988BREAKOUT               A4988BREAKOUT   RepRapjr                     (13.97 60.96)         R270
U$8      A4988BREAKOUT               A4988BREAKOUT   RepRapjr                     (29.21 28.575)        R90
U2       ATMEGA2560-16AU             TQFP-100        Microcontroller              (77.47 54.61)         R0
U4       TXB0108PWR                  TSSOP20         adafruit                     (133.35 90.17)        R90
X+                                   MA03-1          con-lstb_round               (73.66 15.24)         MR270
X-                                   MA03-1          con-lstb_round               (76.2 15.24)          MR270
X-MOT                                MA04-1          con-lstb_round               (17.78 32.385)        MR270
X1       MCV2                        MCV2            con-phoenix-381_l            (94.2975 13.97)       MR180
X2       MCV2                        MCV2            con-phoenix-381_l            (138.7475 13.97)      MR180
X4                                   MCV5            con-phoenix-381_l            (49.53 127)           MR0
